,Rank,Country,Happiness 2021,Happiness 2020,2021 Population
0,1,Finland,7.8420000000000005,7.809,5548360
1,2,Denmark,7.62,7.646,5813298
2,3,Switzerland,7.571000000000001,7.56,8715494
3,4,Iceland,7.553999999999999,7.504,343353
4,5,Netherlands,7.4639999999999995,7.449,17173099
5,6,Norway,7.392,7.4879999999999995,5465630
6,7,Sweden,7.3629999999999995,7.353,10160169
7,8,Luxembourg,7.324,7.2379999999999995,634814
8,9,New Zealand,7.277,7.3,4860643
9,10,Austria,7.268,7.294,9043070
10,11,Australia,7.183,7.223,25788215
11,12,Israel,7.157,7.129,8789774
12,13,Germany,7.155,7.0760000000000005,83900473
13,14,Canada,7.103,7.232,38067903
14,15,Ireland,7.085,7.129,4982907
15,16,Costa Rica,7.069,7.121,5139052
16,17,United Kingdom,7.064,7.165,68207116
17,18,Czech Republic,6.965,6.9110000000000005,10724555
18,19,United States,6.9510000000000005,6.94,332915073
19,20,Belgium,6.834,6.864,11632326
20,21,France,6.69,6.664,65426179
21,22,Bahrain,6.647,6.227,1748296
22,23,Malta,6.602,6.773,442784
23,24,Taiwan,6.584,6.455,23855010
24,25,United Arab Emirates,6.561,6.791,9991089
25,26,Saudi Arabia,6.494,6.406000000000001,35340683
26,27,Spain,6.4910000000000005,6.401,46745216
27,28,Italy,6.483,6.3870000000000005,60367477
28,29,Slovenia,6.461,6.3629999999999995,2078724
29,30,Guatemala,6.435,6.399,18249860
30,31,Uruguay,6.431,6.44,3485151
31,32,Singapore,6.377000000000001,6.377000000000001,5896686
32,33,Slovakia,6.331,6.281000000000001,5460721
33,34,Brazil,6.33,6.376,213993437
34,35,Mexico,6.317,6.465,130262216
35,36,Jamaica,6.309,5.89,2973463
36,37,Lithuania,6.255,6.215,2689862
37,38,Cyprus,6.223,6.159,1215584
38,39,Estonia,6.189,6.022,1325185
39,40,Panama,6.18,6.305,4381579
40,41,Uzbekistan,6.178999999999999,6.257999999999999,33935763
41,42,Chile,6.172000000000001,6.228,19212361
42,43,Poland,6.166,6.186,37797005
43,44,Kazakhstan,6.152,6.058,18994962
44,45,Romania,6.14,6.124,19127774
45,46,Kuwait,6.106,6.102,4328550
46,47,Serbia,6.077999999999999,5.778,8697550
47,48,El Salvador,6.061,6.348,6518499
48,49,Mauritius,6.0489999999999995,6.101,1273433
49,50,Latvia,6.032,5.95,1866942
50,51,Colombia,6.0120000000000005,6.162999999999999,51265844
51,52,Hungary,5.992000000000001,6.0,9634164
52,53,Thailand,5.985,5.999,69950850
53,54,Nicaragua,5.972,6.1370000000000005,6702385
54,55,Japan,5.94,5.871,126050804
55,57,Portugal,5.928999999999999,5.9110000000000005,10167925
56,56,Argentina,5.928999999999999,5.975,45605826
57,58,Honduras,5.919,5.952999999999999,10062991
58,59,Croatia,5.882000000000001,5.505,4081651
59,60,Philippines,5.88,6.006,111046913
60,61,South Korea,5.845,5.872000000000001,51305186
61,62,Peru,5.84,5.797000000000001,33359418
62,63,Bosnia And Herzegovina,5.813,5.6739999999999995,3263466
63,64,Moldova,5.766,5.608,4024019
64,65,Ecuador,5.763999999999999,5.925,17888475
65,66,Kyrgyzstan,5.744,5.542000000000001,6628356
66,67,Greece,5.723,5.515,10370744
67,68,Bolivia,5.716,5.747000000000001,11832940
68,69,Mongolia,5.6770000000000005,5.456,3329289
69,70,Paraguay,5.653,5.692,7219638
70,71,Montenegro,5.581,5.546,628053
71,72,Dominican Republic,5.545,5.689,10953703
72,73,Belarus,5.534,5.54,9442862
73,75,Hong Kong,5.477,5.51,7552810
74,74,Russia,5.477,5.546,145912025
75,76,Tajikistan,5.466,5.556,9749627
76,77,Vietnam,5.4110000000000005,5.353,98168833
77,78,Libya,5.41,5.489,6958532
78,79,Malaysia,5.3839999999999995,5.3839999999999995,32776194
79,80,Indonesia,5.345,5.2860000000000005,276361783
80,81,Republic Of The Congo,5.3420000000000005,5.194,5657013
81,82,China,5.3389999999999995,5.124,1444216107
82,83,Ivory Coast,5.306,5.233,27053629
83,84,Armenia,5.2829999999999995,4.677,2968127
84,85,Nepal,5.269,5.1370000000000005,29674920
85,86,Bulgaria,5.266,5.102,6896663
86,87,Maldives,5.1979999999999995,5.1979999999999995,543617
87,88,Azerbaijan,5.171,5.165,10223342
88,89,Cameroon,5.142,5.085,27224265
89,90,Senegal,5.132000000000001,4.981,17196301
90,91,Albania,5.117,4.883,2872933
91,92,North Macedonia,5.101,5.16,2082658
92,93,Ghana,5.088,5.148,31732129
93,94,Niger,5.074,4.91,25130817
94,95,Turkmenistan,5.066,5.119,6117924
95,96,Gambia,5.051,4.751,2486945
96,97,Benin,5.045,5.216,12451040
97,98,Laos,5.03,4.888999999999999,7379358
98,99,Bangladesh,5.025,4.833,166303498
99,100,Guinea,4.984,4.949,13497244
100,101,South Africa,4.956,4.814,60041994
101,102,Turkey,4.948,5.132000000000001,85042738
102,103,Pakistan,4.934,5.693,225199937
103,104,Morocco,4.918,5.095,37344795
104,105,Venezuela,4.8919999999999995,5.053,28704954
105,106,Georgia,4.891,4.673,3979765
106,107,Algeria,4.887,5.005,44616624
107,108,Ukraine,4.875,4.561,43466819
108,109,Iraq,4.854,4.785,41179350
109,110,Gabon,4.852,4.829,2278825
110,111,Burkina Faso,4.834,4.769,21497096
111,112,Cambodia,4.83,4.848,16946438
112,113,Mozambique,4.794,4.624,32163047
113,114,Nigeria,4.7589999999999995,4.724,211400708
114,115,Mali,4.723,4.729,20855735
115,116,Iran,4.721,4.672,85028759
116,117,Uganda,4.636,4.4319999999999995,47123531
117,118,Liberia,4.625,4.558,5180203
118,119,Kenya,4.607,4.583,54985698
119,120,Tunisia,4.596,4.3919999999999995,11935766
120,121,Lebanon,4.584,4.772,6769146
121,122,Namibia,4.574,4.571000000000001,2587344
122,123,Myanmar,4.426,4.308,54806012
123,124,Jordan,4.395,4.633,10269021
124,125,Chad,4.355,4.423,16914985
125,126,Sri Lanka,4.325,4.327,21497310
126,127,Eswatini,4.308,4.308,1172362
127,128,Comoros,4.289,4.289,888451
128,129,Egypt,4.283,4.151,104258327
129,130,Ethiopia,4.275,4.186,117876227
130,131,Mauritania,4.227,4.375,4775119
131,132,Madagascar,4.208,4.166,28427328
132,133,Togo,4.107,4.187,8478250
133,134,Zambia,4.073,3.759,18920651
134,135,Sierra Leone,3.8489999999999998,3.926,8141343
135,136,India,3.819,3.573,1393409038
136,137,Burundi,3.775,3.775,12255433
137,138,Yemen,3.658,3.5269999999999997,30490640
138,139,Tanzania,3.623,3.4760000000000004,61498437
139,140,Haiti,3.615,3.721,11541685
140,141,Malawi,3.6,3.5380000000000003,19647684
141,142,Lesotho,3.512,3.653,2159079
142,143,Botswana,3.467,3.4789999999999996,2397241
143,144,Rwanda,3.415,3.312,13276513
144,145,Zimbabwe,3.145,3.299,15092171
145,146,Afghanistan,2.523,2.5669999999999997,39835428
